"id","creation_date","question_id","score"
39143713,2016-08-25,39143518,3
39143869,2016-08-25,39143518,1
39143935,2016-08-25,39142481,0
39144014,2016-08-25,39024390,0
39144252,2016-08-25,39096741,6
39144375,2016-08-25,39143885,5
39144430,2016-08-25,39144077,0
39144625,2016-08-25,39142728,1
39144794,2016-08-25,39043648,0
39145033,2016-08-25,39133170,1
39145165,2016-08-25,39145077,0
39145235,2016-08-25,39145077,1
39145437,2016-08-25,39125255,0
39145858,2016-08-25,39145709,1
39146375,2016-08-25,39131770,0
39146602,2016-08-25,39143978,0
39146729,2016-08-25,38575369,0
39146824,2016-08-25,39101552,1
39147033,2016-08-25,39146168,3
39147216,2016-08-25,39123795,1
39147343,2016-08-25,39147249,3
39147433,2016-08-25,39112813,2
39147537,2016-08-25,39147375,3
39147886,2016-08-25,39144663,2
39147953,2016-08-25,39142596,1
39147982,2016-08-25,39147849,7
39148074,2016-08-25,39146966,0
39148139,2016-08-25,39146762,5
39148414,2016-08-25,39142701,0
39148666,2016-08-25,39148454,5
39148727,2016-08-25,34117567,0
39148859,2016-08-25,39148318,2
39148871,2016-08-25,39148318,1
39148886,2016-08-25,39140292,1
39149034,2016-08-25,32440454,1
39149221,2016-08-25,39148318,1
39149233,2016-08-25,39149017,5
39149427,2016-08-25,39148984,3
39149624,2016-08-25,39128344,0
39149955,2016-08-25,39132985,7
39149958,2016-08-25,39134202,1
39150049,2016-08-25,39149786,0
39150114,2016-08-25,34424716,0
39150131,2016-08-25,39149457,1
39150166,2016-08-25,39131125,0
39150225,2016-08-25,39148318,2
39150237,2016-08-25,35132118,1
39150320,2016-08-25,38955103,1
39150441,2016-08-25,39150367,8
39150481,2016-08-25,39147505,2
39150511,2016-08-25,39150356,6
39150586,2016-08-25,39150328,-1
39150620,2016-08-25,39150356,1
39150725,2016-08-25,39150356,2
39150787,2016-08-25,39150415,5
39150789,2016-08-25,39144962,0
39150817,2016-08-25,27801130,2
39150926,2016-08-25,24642281,1
39150942,2016-08-25,39150778,1
39151000,2016-08-25,39149996,1
39151335,2016-08-25,39151197,0
39151479,2016-08-25,29554211,1
39151515,2016-08-25,39150427,1
39151607,2016-08-25,39151346,0
39151624,2016-08-25,39151346,1
39151851,2016-08-25,39149013,1
39151856,2016-08-25,39151716,3
39151870,2016-08-25,39151389,4
39151936,2016-08-25,39151389,2
39151986,2016-08-25,39151389,2
39152039,2016-08-25,39151709,1
39152292,2016-08-25,39151389,0
39152480,2016-08-25,39152317,12
39152482,2016-08-25,39152016,1
39152543,2016-08-25,39148749,2
39152583,2016-08-25,39152038,1
39152835,2016-08-25,39135428,1
39153194,2016-08-25,39153138,2
39153515,2016-08-25,39152650,2
39153535,2016-08-25,39153221,5
39153551,2016-08-25,39152650,3
39153676,2016-08-25,39152866,1
39153856,2016-08-25,39153717,15
39153865,2016-08-25,39153723,6
39153929,2016-08-25,39153717,15
39154078,2016-08-25,39153696,2
39154085,2016-08-25,39152038,0
39154261,2016-08-25,39153646,5
39154423,2016-08-25,38538762,0
39154431,2016-08-25,39109671,3
39154438,2016-08-25,39153440,3
39154464,2016-08-25,39153440,3
39154482,2016-08-25,39154353,2
39154722,2016-08-25,38674541,0
39154748,2016-08-25,39150453,1
39154761,2016-08-25,39153111,1
39154912,2016-08-25,39154880,3
39155169,2016-08-25,39154976,2
39155471,2016-08-25,39154862,2
39155516,2016-08-25,39153717,6
39155524,2016-08-25,13610293,1
39155576,2016-08-25,39151716,0
39155670,2016-08-25,39131125,0
39155678,2016-08-25,39150779,1
39155702,2016-08-25,39155542,1
39155762,2016-08-25,39154627,1
39155892,2016-08-25,39154862,0
39155899,2016-08-25,39155701,6
39155916,2016-08-25,39155701,4
39156158,2016-08-25,39156090,2
39156200,2016-08-25,39134667,0
39156202,2016-08-25,39154880,0
39156220,2016-08-25,39155901,0
39156280,2016-08-25,39156114,2
39156464,2016-08-25,39134108,0
39156581,2016-08-26,39156558,7
39156640,2016-08-26,39152729,7
39156841,2016-08-26,39156578,1
39157371,2016-08-26,39157145,5
39157526,2016-08-26,39156904,0
39157541,2016-08-26,39156578,1
39157568,2016-08-26,39156345,2
39157585,2016-08-26,39157145,11
39157592,2016-08-26,39157508,5
39157604,2016-08-26,39151409,3
39157797,2016-08-26,39157508,2
