"question_id","tag_id"
22557677,18
22557677,139
22557677,16088
22557677,1672
22558084,6419
22558084,92764
22558395,5569
22558395,134
22558395,9412
22558395,18621
22558613,16
22558613,46457
22558613,85216
22558677,40819
22559180,37554
22559322,3829
22559999,36606
22560341,8512
22560358,317
22560358,12147
22560358,4331
22560358,6699
22560395,73181
22560850,6419
22560850,34762
22560940,402
22560940,43421
22560940,37456
22561269,58
22561269,13613
22561363,631
22561363,353
22561363,54717
22561363,67442
22561622,8512
22561622,41183
22562421,2314
22562421,8512
22562719,11018
22562719,86594
22562839,8512
22562839,61085
22563412,5310
22563412,1926
22563412,105113
22563555,5569
22563555,5852
22563555,1796
22563555,6067
22563561,136
22563683,5569
22563683,17237
22564176,3961
22564202,12147
22564202,4249
22564306,5569
22564306,276
22564306,8512
22564306,17361
22564312,353
22564312,9228
22564312,9412
22564312,67746
22564364,105113
22564463,1848
22564463,43440
22564463,80583
22564844,9374
22565024,1281
22565024,13613
22565118,37174
22565219,18
22565219,59159
22565226,5600
22565226,2826
22565226,17119
22565411,997
22565411,8403
22565625,49051
22565721,38220
22566235,8512
22566235,21507
22566317,67746
22566350,402
22566350,5600
22566350,3666
22566350,42519
22566392,45162
22566392,92011
22566592,79650
22566865,44654
22566865,49721
22566865,77976
22566865,102299
22567327,13613
22567410,22444
22568428,88216
22568557,80986
22568946,24051
22568946,15664
22568956,105113
22568956,37869
22569103,1271
22569103,46457
22569176,1781
22569176,6863
22569176,44840
22569176,69142
22569464,75535
22569464,83308
22569724,13925
22569724,95932
22570381,1357
22570864,36606
22570864,96024
22571163,2314
22571163,84917
22571307,9378
22571307,16958
22571491,36606
22571491,40819
22571548,506
22571548,36606
22571719,8512
22571719,997
22571719,25396
22572326,46457
22572326,10105
22572901,8512
22572965,2314
22572965,2531
22572965,19432
22591172,4240
22591172,22109
22573664,5852
22573664,6067
22573847,5852
22573847,16088
22574089,997
22574089,85869
22574524,8512
22574524,67816
22574662,5569
22574662,22444
22574976,5569
22574976,8512
22574976,5133
22574976,1441
22575405,10
22575405,8
22575405,58649
22577087,549
22577087,51519
22577087,97225
22577161,90536
22577385,17361
22577385,9047
22577966,70885
22577966,92011
22578538,64
22578538,1819
22578538,7715
22578538,997
22579162,5647
22579162,67763
22579162,1102
22579663,717
22579663,58649
22580293,22444
22580379,402
22580379,60530
22580911,997
22580911,36606
22581122,46457
22581122,6051
22581122,4331
22581122,24233
22581567,90
22581567,36606
22581567,67746
22581567,18680
22581855,134
22581855,6820
22581855,37944
22581869,60910
22582010,4249
22582010,38832
22582010,94139
22582504,36606
22582504,102318
22582998,9412
22584334,36606
22584552,5002
22584552,6067
22584552,6529
22585071,657
22585302,8512
22585801,522
22585801,2498
22585801,46457
22585808,46457
22585808,105113
22585808,97225
22585862,7573
22585862,1222
22585862,20013
22585862,74655
22586013,11529
22586013,32334
22586098,5569
22586098,277
22586098,5852
22586372,227
22587130,36606
22587414,40819
22587852,119
22587852,456
22587852,67746
22587959,78243
22587959,29691
22588474,1222
22588474,105113
22588673,105113
22588909,36606
22588909,12988
22588909,69457
22588932,43421
22588932,22444
22588932,51330
22588956,1796
22589643,105113
22589801,3222
22589801,30645
22589801,4063
22589801,10553
22589851,402
22589851,91850
22589851,97225
22590597,46457
22591010,64
22591010,3222
22591010,30645
22591590,997
22591702,997
22591892,276
22591892,42075
22592193,6419
22592193,61827
22592559,578
22592559,17310
22592610,5569
22592610,73181
22592610,51330
22592789,36606
22592789,78243
22592789,18144
22592819,5002
22592819,4249
22592819,20115
22593102,137
22593102,105113
22593102,9047
22593102,61067
22593209,2314
22593926,90525
22594015,197
22594015,14777
22594015,5728
22605520,42519
22605520,17
22594238,58649
22594423,402
22594423,50808
22594795,1263
22594795,997
22594795,36606
22594795,67746
22595471,290
22595525,36606
22595525,95252
22595765,105113
22595767,578
22595915,90
22595915,1704
22595915,75535
22595915,67746
22596203,3981
22596370,58649
22596538,16
22596538,4686
22596904,40686
22596960,2314
22596960,6418
22597310,2314
22597310,543
22597397,997
22597397,67527
22597663,9325
22597663,5840
22597663,7505
22598010,997
22598144,104222
22598251,8542
22598251,91455
22598458,2314
22598458,46457
22598517,36606
22598517,2377
22598722,2763
22598722,39640
22599030,5187
22599030,46457
22599525,46457
