id,creation_date,score
22557677,3/21/2014,1
22557707,3/21/2014,2
22558084,3/21/2014,2
22558395,3/21/2014,2
22558613,3/21/2014,0
22558677,3/21/2014,2
22558887,3/21/2014,8
22559180,3/21/2014,1
22559312,3/21/2014,0
22559322,3/21/2014,2
22559999,3/21/2014,0
22560267,3/21/2014,0
22560341,3/21/2014,0
22560358,3/21/2014,1
22560395,3/21/2014,2
22560850,3/21/2014,2
22560940,3/21/2014,0
22561122,3/21/2014,-1
22561269,3/21/2014,0
22561363,3/21/2014,0
22561622,3/21/2014,0
22561909,3/21/2014,1
22562315,3/21/2014,-2
22562421,3/21/2014,0
22562648,3/21/2014,1
22562719,3/21/2014,0
22562839,3/21/2014,1
22563412,3/21/2014,1
22563555,3/21/2014,1
22563561,3/21/2014,7
22563683,3/21/2014,1
22564176,3/21/2014,0
22564202,3/21/2014,0
22564306,3/21/2014,4
22564312,3/21/2014,3
22564364,3/21/2014,3
22564463,3/21/2014,1
22564541,3/21/2014,0
22564844,3/21/2014,2
22565024,3/21/2014,14
22565118,3/21/2014,6
22565219,3/21/2014,2
22565226,3/21/2014,1
22565411,3/21/2014,0
22565625,3/21/2014,2
22565721,3/21/2014,2
22566235,3/21/2014,1
22566317,3/21/2014,5
22566350,3/21/2014,1
22566392,3/21/2014,2
22566592,3/21/2014,2
22566865,3/21/2014,1
22567085,3/21/2014,4
22567327,3/21/2014,1
22567410,3/21/2014,1
22568105,3/21/2014,1
22568428,3/21/2014,1
22568557,3/21/2014,2
22568946,3/21/2014,2
22568956,3/21/2014,8
22569005,3/21/2014,1
22569101,3/21/2014,1
22569103,3/21/2014,3
22569126,3/21/2014,1
22569176,3/21/2014,21
22569464,3/21/2014,2
22569724,3/21/2014,1
22569919,3/21/2014,3
22570195,3/21/2014,2
22570381,3/21/2014,1
22570864,3/21/2014,1
22571054,3/21/2014,0
22571163,3/21/2014,0
22571307,3/21/2014,0
22571491,3/21/2014,2
22571548,3/21/2014,0
22571719,3/22/2014,1
22572162,3/22/2014,1
22572326,3/22/2014,0
22572832,3/22/2014,4
22572901,3/22/2014,5
22572965,3/22/2014,0
22603294,3/22/2014,1
22591172,3/22/2014,2
22573664,3/22/2014,4
22573847,3/22/2014,2
22573942,3/22/2014,0
22574089,3/22/2014,1
22574440,3/22/2014,0
22574524,3/22/2014,2
22574662,3/22/2014,2
22574976,3/22/2014,0
22575405,3/22/2014,0
22577087,3/22/2014,1
22577161,3/22/2014,1
22577385,3/22/2014,0
22577966,3/22/2014,0
22578260,3/22/2014,3
22578538,3/22/2014,0
22579162,3/22/2014,0
22579390,3/22/2014,2
22579663,3/22/2014,2
22580293,3/22/2014,2
22580379,3/22/2014,18
22580911,3/22/2014,-1
22580960,3/22/2014,3
22581122,3/22/2014,4
22581567,3/22/2014,11
22581855,3/22/2014,0
22581869,3/22/2014,1
22581940,3/22/2014,0
22582010,3/22/2014,0
22582504,3/22/2014,2
22582998,3/22/2014,1
22584334,3/22/2014,3
22584552,3/22/2014,0
22584978,3/22/2014,1
22585071,3/22/2014,3
22585302,3/23/2014,2
22585801,3/23/2014,3
22585808,3/23/2014,4
22585862,3/23/2014,0
22585969,3/23/2014,0
22586013,3/23/2014,0
22586098,3/23/2014,1
22586372,3/23/2014,3
22587130,3/23/2014,1
22587414,3/23/2014,0
22587561,3/23/2014,0
22587852,3/23/2014,1
22587959,3/23/2014,0
22588474,3/23/2014,0
22588673,3/23/2014,2
22588816,3/23/2014,2
22588909,3/23/2014,4
22588932,3/23/2014,1
22588956,3/23/2014,2
22589643,3/23/2014,3
22589801,3/23/2014,0
22589851,3/23/2014,6
22589913,3/23/2014,0
22590005,3/23/2014,1
22590362,3/23/2014,0
22590597,3/23/2014,0
22591010,3/23/2014,0
22591136,3/23/2014,1
22598678,3/23/2014,1
22591590,3/23/2014,3
22591702,3/23/2014,1
22591892,3/23/2014,1
22592193,3/23/2014,3
22592325,3/23/2014,0
22592518,3/23/2014,0
22592559,3/23/2014,0
22592610,3/23/2014,2
22592789,3/23/2014,4
22592819,3/23/2014,-4
22593102,3/23/2014,4
22593209,3/23/2014,0
22593228,3/23/2014,1
22593842,3/23/2014,1
22593926,3/23/2014,0
22594015,3/23/2014,0
22605520,3/23/2014,0
22594238,3/23/2014,17
22594423,3/23/2014,0
22594795,3/23/2014,1
22594851,3/23/2014,0
22595089,3/23/2014,0
22595198,3/23/2014,0
22595471,3/23/2014,0
22595525,3/23/2014,0
22595765,3/23/2014,3
22595767,3/23/2014,0
22595915,3/23/2014,1
22596181,3/23/2014,1
22596203,3/23/2014,2
22596370,3/23/2014,2
22596538,3/23/2014,2
22596904,3/23/2014,0
22596960,3/23/2014,0
22596971,3/23/2014,1
22597310,3/23/2014,1
22597397,3/23/2014,0
22597663,3/23/2014,6
22598010,3/23/2014,2
22598144,3/23/2014,0
22598251,3/23/2014,0
22598458,3/23/2014,0
22598517,3/23/2014,0
22598722,3/23/2014,0
22599030,3/24/2014,0
22599525,3/24/2014,1
22599542,3/24/2014,2
22599623,3/24/2014,1
22599701,3/24/2014,3
22599817,3/24/2014,3
22599935,3/24/2014,0
22600113,3/24/2014,0
22600390,3/24/2014,3
22600439,3/24/2014,0
22600576,3/24/2014,1
22613085,3/24/2014,3
22601011,3/24/2014,2
22601407,3/24/2014,1
22601643,3/24/2014,2
22601728,3/24/2014,3
22601750,3/24/2014,0
22601771,3/24/2014,0
22602400,3/24/2014,0
22603098,3/24/2014,19
22603847,3/24/2014,22
22612557,3/24/2014,4
22604107,3/24/2014,3
22604257,3/24/2014,1
22604546,3/24/2014,0
22605238,3/24/2014,2
22605364,3/24/2014,0
22605387,3/24/2014,0
22605532,3/24/2014,0
22606389,3/24/2014,0
22606862,3/24/2014,3
22607406,3/24/2014,4
22607596,3/24/2014,2
22607737,3/24/2014,0
22608286,3/24/2014,1
22608585,3/24/2014,0
22608863,3/24/2014,2
22609010,3/24/2014,6
22609199,3/24/2014,0
22609517,3/24/2014,0
22609592,3/24/2014,0
22609878,3/24/2014,0
22610113,3/24/2014,0
22610330,3/24/2014,2
22610597,3/24/2014,0
22610921,3/24/2014,0
22611375,3/24/2014,0
22612128,3/24/2014,3
22612204,3/24/2014,1
22612264,3/24/2014,0
22612337,3/24/2014,4
22612382,3/24/2014,0
22612413,3/24/2014,0
22613013,3/24/2014,0
22613056,3/24/2014,0
22613822,3/24/2014,1
22614439,3/24/2014,3
22614722,3/24/2014,4
22615090,3/24/2014,0
22615188,3/24/2014,5
22615406,3/24/2014,1
22615853,3/24/2014,16
22616191,3/24/2014,0
22616292,3/24/2014,0
22616703,3/24/2014,1
22617050,3/24/2014,1
22617110,3/24/2014,1
22617354,3/24/2014,1
22617466,3/24/2014,4
22617593,3/24/2014,4
22618691,3/24/2014,1
22618751,3/24/2014,5
22619395,3/24/2014,2
22619459,3/24/2014,1
22619561,3/24/2014,1
22619649,3/24/2014,2
22619664,3/24/2014,1
22619908,3/24/2014,3
22620100,3/24/2014,0
22620338,3/24/2014,0
22620379,3/24/2014,1
22620412,3/24/2014,1
22620814,3/24/2014,0
22620825,3/24/2014,2
22621138,3/24/2014,4
22621401,3/24/2014,1
22621555,3/24/2014,0
22621655,3/24/2014,0
22621779,3/24/2014,8
22621875,3/24/2014,3
22622123,3/24/2014,8
22622226,3/24/2014,9
22622609,3/24/2014,0
22622944,3/24/2014,2
22622993,3/25/2014,0
22623038,3/25/2014,0
22623280,3/25/2014,0
22623309,3/25/2014,3
22623809,3/25/2014,1
22624078,3/25/2014,2
22624216,3/25/2014,1
22624284,3/25/2014,4
22624345,3/25/2014,1
22624878,3/25/2014,4
22624933,3/25/2014,0
22625087,3/25/2014,0
22625119,3/25/2014,2
22625212,3/25/2014,0
22625314,3/25/2014,1
22625960,3/25/2014,5
22626231,3/25/2014,1
22626412,3/25/2014,7
22627267,3/25/2014,2
22628863,3/25/2014,19
22628936,3/25/2014,0
22628971,3/25/2014,0
22629388,3/25/2014,2
22629536,3/25/2014,1
22629608,3/25/2014,2
22629905,3/25/2014,0
22629920,3/25/2014,1
22629976,3/25/2014,4
22630226,3/25/2014,42
22630248,3/25/2014,0
22630436,3/25/2014,-1
22630486,3/25/2014,3
22630556,3/25/2014,1
22630560,3/25/2014,2
22630728,3/25/2014,0
22631402,3/25/2014,-1
22631574,3/25/2014,0
22631862,3/25/2014,1
22631866,3/25/2014,0
22631917,3/25/2014,0
22631968,3/25/2014,2
22632382,3/25/2014,2
22632405,3/25/2014,1
